Player,Squad,Age,Pos,Nation,Season_End_Year,Comp,Born,Mins_Per_90_Playing,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG._per__minus__Expected,X_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att..GK._Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,X.OPA_Sweeper,X.OPA_per_90_Sweeper,AvgDist_Sweeper,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Weekly_Wages_Pounds,Annual_Wages_Pounds,Career_Injuries_Duration,Career_Games_Missed
Dominik Greif,Mallorca,26.0,GK,SVK,2024,La Liga,1997.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.16,0.7,0.66,10.0,18.0,55.6,23.0,3.0,52.2,42.0,9.0,66.7,54.2,12.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,4965.0,258179.0,66.0,10.0
Predrag Rajković,Mallorca,27.0,GK,SRB,2024,La Liga,1995.0,36.0,43.0,4.0,1.0,4.0,1.0,41.8,0.27,-0.2,-0.01,322.0,795.0,40.5,946.0,117.0,60.9,44.7,300.0,73.0,54.3,502.0,33.0,6.6,28.0,0.78,13.7,43.0,1.19,138.0,95.0,71.7,7.0,15.0,14.0,9.0,25.0,5.0,4.0,1.0,0.0,20.0,13902.0,722901.0,4.0,2.0
Ederson,Manchester City,29.0,GK,BRA,2024,Premier League,1993.0,30.9,27.0,3.0,0.0,2.0,1.0,27.2,0.3,1.2,0.04,114.0,246.0,46.3,1120.0,137.0,18.3,27.2,114.0,36.0,36.3,247.0,25.0,10.1,50.0,1.62,17.3,27.0,0.87,82.0,56.0,70.7,24.0,6.0,3.0,10.0,30.3,3.0,3.0,0.0,0.0,0.0,100000.0,5200000.0,77.0,12.0
Stefan Ortega,Manchester City,30.0,GK,GER,2024,Premier League,1992.0,7.1,7.0,0.0,0.0,1.0,0.0,9.0,0.33,2.0,0.28,28.0,68.0,41.2,247.0,24.0,24.7,27.9,19.0,36.8,34.4,65.0,6.0,9.2,13.0,1.84,16.8,7.0,0.99,27.0,20.0,74.1,4.0,1.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,,55000.0,2860000.0,122.0,16.0
André Onana,Manchester Utd,27.0,GK,CMR,2024,Premier League,1996.0,38.0,58.0,7.0,1.0,11.0,1.0,59.2,0.27,2.2,0.06,149.0,513.0,29.0,1351.0,140.0,31.0,31.2,162.0,58.0,44.6,601.0,40.0,6.7,37.0,0.97,13.1,58.0,1.53,203.0,146.0,74.9,18.0,6.0,14.0,9.0,23.7,7.0,7.0,0.0,0.0,0.0,120000.0,6240000.0,322.0,38.0
Rubén Blanco,Marseille,28.0,GK,ESP,2024,Ligue 1,1995.0,1.3,2.0,0.0,0.0,0.0,0.0,1.3,0.21,-0.7,-0.55,5.0,12.0,41.7,41.0,6.0,26.8,28.4,10.0,10.0,27.0,24.0,4.0,16.7,1.0,0.74,10.4,2.0,1.49,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,41375.0,2151491.0,846.0,108.0
Pau López,Marseille,28.0,GK,ESP,2024,Ligue 1,1994.0,32.7,39.0,3.0,1.0,7.0,1.0,32.6,0.24,-5.4,-0.17,93.0,325.0,28.6,1044.0,113.0,24.8,29.4,149.0,44.3,37.3,406.0,15.0,3.7,25.0,0.77,13.9,39.0,1.19,124.0,86.0,71.0,13.0,11.0,9.0,7.0,21.2,3.0,3.0,0.0,0.0,0.0,63717.0,3313296.0,207.0,12.0
Guillaume Dietsch,Metz,22.0,GK,FRA,2024,Ligue 1,2001.0,0.8,1.0,0.0,0.0,0.0,0.0,0.8,0.31,-0.2,-0.21,6.0,16.0,37.5,19.0,3.0,47.4,36.4,7.0,100.0,63.0,14.0,1.0,7.1,0.0,0.0,3.0,1.0,1.23,3.0,2.0,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2979.0,154907.0,91.0,11.0
Alexandre Oukidja,Metz,35.0,GK,ALG,2024,Ligue 1,1988.0,33.2,57.0,6.0,1.0,7.0,0.0,52.3,0.26,-4.7,-0.14,209.0,666.0,31.4,708.0,125.0,57.3,42.4,292.0,89.0,59.0,569.0,46.0,8.1,22.0,0.66,10.3,57.0,1.72,185.0,128.0,72.4,8.0,5.0,21.0,6.0,17.6,6.0,6.0,0.0,0.0,0.0,8275.0,430298.0,,
Mike Maignan,Milan,28.0,GK,FRA,2024,Serie A,1995.0,29.0,34.0,7.0,2.0,3.0,0.0,29.8,0.19,-4.2,-0.14,119.0,284.0,41.9,1070.0,188.0,21.1,28.2,147.0,39.5,38.0,339.0,37.0,10.9,36.0,1.24,15.2,34.0,1.17,120.0,86.0,77.5,19.0,5.0,5.0,10.0,34.5,7.0,7.0,0.0,0.0,0.0,59414.0,3089541.0,312.0,65.0
Antonio Mirante,Milan,40.0,GK,ITA,2024,Serie A,1983.0,2.0,3.0,0.0,0.0,1.0,0.0,3.1,0.41,0.1,0.05,5.0,14.0,35.7,46.0,5.0,26.1,29.2,8.0,25.0,29.4,17.0,1.0,5.9,1.0,0.51,11.9,3.0,1.53,8.0,5.0,62.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,21515.0,1118775.0,532.0,105.0
Lapo Nava,Milan,19.0,GK,ITA,2024,Serie A,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.5,-0.1,-2.83,1.0,1.0,100.0,1.0,0.0,100.0,43.0,0.0,,,0.0,0.0,,0.0,0.0,,1.0,30.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2813.0,146301.0,,
Marco Sportiello,Milan,31.0,GK,ITA,2024,Serie A,1992.0,7.0,11.0,1.0,0.0,0.0,1.0,8.9,0.25,-1.1,-0.15,20.0,51.0,39.2,230.0,40.0,20.4,26.9,17.0,23.5,29.1,81.0,5.0,6.2,9.0,1.29,15.4,11.0,1.57,33.0,23.0,69.7,3.0,3.0,1.0,2.0,28.6,1.0,1.0,0.0,0.0,0.0,15391.0,800355.0,48.0,10.0
Philipp Köhn,Monaco,25.0,GK,SUI,2024,Ligue 1,1998.0,22.0,32.0,5.0,1.0,6.0,1.0,32.0,0.27,1.0,0.05,82.0,249.0,32.9,536.0,91.0,32.5,32.1,130.0,57.7,43.5,282.0,22.0,7.8,19.0,0.86,11.3,32.0,1.45,97.0,65.0,72.2,11.0,5.0,6.0,5.0,22.7,6.0,5.0,1.0,0.0,16.7,18205.0,946656.0,307.0,13.0
Radosław Majecki,Monaco,23.0,GK,POL,2024,Ligue 1,1999.0,12.0,10.0,0.0,0.0,0.0,1.0,14.7,0.29,5.7,0.47,39.0,121.0,32.2,296.0,68.0,31.1,32.0,80.0,36.3,33.4,160.0,13.0,8.1,7.0,0.58,11.0,10.0,0.83,54.0,45.0,81.5,9.0,2.0,1.0,7.0,58.3,0.0,0.0,0.0,0.0,,20356.0,1058534.0,155.0,29.0
Dimitry Bertaud,Montpellier,25.0,GK,COD,2024,Ligue 1,1998.0,4.0,11.0,0.0,0.0,1.0,0.0,10.9,0.32,-0.1,-0.02,18.0,61.0,29.5,118.0,26.0,42.4,38.0,23.0,47.8,42.5,56.0,3.0,5.4,0.0,0.0,9.6,11.0,2.75,34.0,23.0,67.6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,1986.0,103272.0,414.0,120.0
Benjamin Lecomte,Montpellier,32.0,GK,FRA,2024,Ligue 1,1991.0,30.0,37.0,4.0,2.0,3.0,3.0,36.8,0.24,2.8,0.09,150.0,436.0,34.4,781.0,137.0,44.2,36.6,221.0,41.2,36.4,471.0,29.0,6.2,13.0,0.43,9.5,37.0,1.23,137.0,102.0,75.9,9.0,11.0,10.0,10.0,33.3,5.0,4.0,1.0,0.0,20.0,30121.0,1566286.0,242.0,41.0
Michele Di Gregorio,Monza,26.0,GK,ITA,2024,Serie A,1997.0,31.9,35.0,3.0,1.0,5.0,0.0,45.4,0.26,10.4,0.33,179.0,430.0,41.6,1126.0,201.0,27.8,30.6,223.0,52.5,44.2,469.0,19.0,4.1,18.0,0.56,11.5,35.0,1.1,159.0,122.0,79.9,11.0,11.0,11.0,12.0,36.4,5.0,3.0,2.0,0.0,40.0,21515.0,1118775.0,,
Alessandro Sorrentino,Monza,21.0,GK,ITA,2024,Serie A,2002.0,6.1,16.0,4.0,0.0,1.0,0.0,14.4,0.34,-1.6,-0.27,18.0,56.0,32.1,151.0,29.0,26.5,30.6,42.0,38.1,36.1,62.0,3.0,4.8,3.0,0.49,16.8,16.0,2.63,32.0,16.0,62.5,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2813.0,146301.0,8.0,2.0
Rémy Descamps,Nantes,27.0,GK,FRA,2024,Ligue 1,1996.0,6.0,11.0,1.0,0.0,0.0,0.0,12.5,0.35,1.5,0.26,51.0,125.0,40.8,141.0,28.0,51.1,40.3,71.0,74.6,49.8,116.0,8.0,6.9,0.0,0.0,7.8,11.0,1.83,37.0,26.0,73.0,2.0,2.0,2.0,1.0,16.7,2.0,1.0,0.0,1.0,0.0,1986.0,103272.0,47.0,6.0
Alban Lafont,Nantes,24.0,GK,FRA,2024,Ligue 1,1999.0,27.7,43.0,8.0,0.0,2.0,0.0,42.4,0.31,-0.6,-0.02,123.0,388.0,31.7,839.0,145.0,34.2,34.0,166.0,60.8,46.9,385.0,33.0,8.6,33.0,1.19,13.0,43.0,1.55,118.0,75.0,70.3,7.0,4.0,17.0,7.0,25.0,8.0,8.0,0.0,0.0,0.0,24825.0,1290895.0,16.0,8.0
Denis Petrić,Nantes,35.0,GK,SRB,2024,Ligue 1,1988.0,0.3,1.0,0.0,0.0,1.0,0.0,0.3,0.28,-0.7,-2.71,1.0,2.0,50.0,7.0,2.0,28.6,30.7,0.0,,,4.0,0.0,0.0,0.0,0.0,,1.0,3.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3972.0,206543.0,,
Nikita Contini Baranovsky,Napoli,27.0,GK,ITA,2024,Serie A,1996.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,1.0,0.0,17.0,1.0,0.0,15.0,1.0,0.0,0.0,3.0,15.88,37.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,9268.0,481934.0,,
Pierluigi Gollini,Napoli,28.0,GK,ITA,2024,Serie A,1995.0,7.0,8.0,0.0,0.0,1.0,0.0,8.2,0.34,0.2,0.02,27.0,68.0,39.7,213.0,28.0,22.1,29.5,53.0,39.6,36.3,82.0,5.0,6.1,9.0,1.29,16.2,8.0,1.14,24.0,16.0,66.7,3.0,1.0,3.0,1.0,14.3,0.0,0.0,0.0,0.0,,24494.0,1273683.0,106.0,15.0
Alex Meret,Napoli,26.0,GK,ITA,2024,Serie A,1997.0,30.8,40.0,2.0,1.0,5.0,0.0,38.0,0.33,-2.0,-0.07,56.0,174.0,32.2,774.0,120.0,18.5,27.9,137.0,22.6,29.5,334.0,9.0,2.7,29.0,0.94,15.4,40.0,1.3,104.0,62.0,63.5,10.0,13.0,8.0,5.0,16.1,4.0,2.0,2.0,0.0,50.0,46009.0,2392458.0,423.0,88.0
Martin Dúbravka,Newcastle Utd,34.0,GK,SVK,2024,Premier League,1989.0,22.1,42.0,4.0,0.0,5.0,0.0,42.5,0.29,0.5,0.02,56.0,165.0,33.9,480.0,143.0,15.6,25.4,169.0,53.3,39.1,296.0,20.0,6.8,22.0,1.0,12.9,42.0,1.9,130.0,87.0,70.8,9.0,4.0,9.0,5.0,22.7,5.0,4.0,1.0,0.0,20.0,40000.0,2080000.0,237.0,38.0
Loris Karius,Newcastle Utd,30.0,GK,GER,2024,Premier League,1993.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.29,-1.0,-0.99,3.0,18.0,16.7,27.0,5.0,48.1,36.3,9.0,55.6,41.8,10.0,1.0,10.0,3.0,3.0,19.5,4.0,4.0,7.0,4.0,42.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,10000.0,520000.0,138.0,24.0
Nick Pope,Newcastle Utd,31.0,GK,ENG,2024,Premier League,1992.0,14.9,16.0,0.0,1.0,2.0,0.0,16.8,0.3,0.8,0.05,41.0,118.0,34.7,304.0,88.0,21.1,28.6,95.0,56.8,43.8,143.0,9.0,6.3,28.0,1.87,19.0,16.0,1.07,58.0,42.0,72.4,9.0,2.0,4.0,5.0,33.3,0.0,0.0,0.0,0.0,,60000.0,3120000.0,266.0,47.0
Marcin Bułka,Nice,23.0,GK,POL,2024,Ligue 1,1999.0,34.0,29.0,5.0,0.0,1.0,1.0,30.7,0.22,2.7,0.08,74.0,189.0,39.2,1086.0,158.0,14.4,23.9,147.0,22.4,25.5,376.0,32.0,8.5,21.0,0.62,12.2,29.0,0.85,105.0,74.0,77.1,15.0,10.0,9.0,17.0,50.0,8.0,5.0,3.0,0.0,37.5,5958.0,309815.0,342.0,58.0
Matz Sels,Nott'ham Forest,31.0,GK,BEL,2024,Premier League,1992.0,16.0,27.0,1.0,0.0,9.0,2.0,17.2,0.27,-7.8,-0.49,75.0,179.0,41.9,283.0,51.0,45.9,36.6,93.0,52.7,41.4,223.0,11.0,4.9,4.0,0.25,9.4,27.0,1.69,61.0,36.0,57.4,4.0,4.0,8.0,1.0,6.3,1.0,1.0,0.0,0.0,0.0,17874.0,929444.0,378.0,56.0
Matt Turner,Nott'ham Forest,29.0,GK,USA,2024,Premier League,1994.0,17.0,28.0,2.0,1.0,4.0,0.0,22.1,0.26,-5.9,-0.35,126.0,280.0,45.0,436.0,99.0,42.7,35.7,136.0,69.1,47.0,296.0,30.0,10.1,18.0,1.06,13.3,28.0,1.65,80.0,52.0,67.5,4.0,5.0,8.0,2.0,11.8,2.0,2.0,0.0,0.0,0.0,40000.0,2080000.0,166.0,30.0
Odisseas Vlachodimos,Nott'ham Forest,29.0,GK,GRE,2024,Premier League,1994.0,5.0,12.0,1.0,0.0,2.0,0.0,7.9,0.31,-4.1,-0.83,28.0,60.0,46.7,130.0,21.0,25.4,29.6,44.0,61.4,44.3,92.0,3.0,3.3,2.0,0.4,10.3,12.0,2.4,22.0,10.0,50.0,1.0,0.0,4.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,45000.0,2340000.0,54.0,8.0
Aitor Fernández,Osasuna,32.0,GK,ESP,2024,La Liga,1991.0,6.1,9.0,1.0,0.0,2.0,0.0,6.1,0.26,-2.9,-0.47,47.0,113.0,41.6,174.0,19.0,56.3,42.5,22.0,68.2,49.7,69.0,1.0,1.4,15.0,2.45,24.8,9.0,1.47,20.0,11.0,60.0,0.0,2.0,4.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,11585.0,602418.0,371.0,53.0
Sergio Herrera,Osasuna,30.0,GK,ESP,2024,La Liga,1993.0,31.9,47.0,0.0,0.0,6.0,0.0,45.6,0.34,-1.4,-0.04,282.0,658.0,42.9,961.0,100.0,52.0,40.4,222.0,71.2,51.2,468.0,29.0,6.2,43.0,1.35,16.4,47.0,1.47,132.0,84.0,64.4,12.0,7.0,13.0,9.0,28.1,1.0,0.0,1.0,0.0,100.0,15722.0,817567.0,285.0,27.0
Gianluigi Donnarumma,Paris S-G,24.0,GK,ITA,2024,Ligue 1,1999.0,24.1,20.0,3.0,0.0,2.0,0.0,30.3,0.25,10.3,0.43,36.0,94.0,38.3,641.0,113.0,11.4,24.2,131.0,16.0,23.0,294.0,15.0,5.1,23.0,0.95,13.2,20.0,0.83,110.0,89.0,84.5,18.0,6.0,1.0,10.0,40.0,4.0,3.0,1.0,0.0,25.0,210681.0,10955393.0,115.0,16.0
Keylor Navas,Paris S-G,36.0,GK,CRC,2024,Ligue 1,1986.0,4.0,6.0,1.0,0.0,0.0,0.0,4.7,0.31,-1.3,-0.33,4.0,9.0,44.4,80.0,12.0,10.0,23.5,18.0,5.6,22.2,37.0,0.0,0.0,5.0,1.25,16.3,6.0,1.5,12.0,6.0,58.3,2.0,2.0,0.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,180560.0,9389107.0,563.0,92.0
Arnau Tenas,Paris S-G,22.0,GK,ESP,2024,Ligue 1,2001.0,5.9,7.0,0.0,0.0,2.0,0.0,6.0,0.24,-1.0,-0.17,14.0,46.0,30.4,174.0,19.0,23.0,29.6,37.0,16.2,27.1,71.0,2.0,2.8,5.0,0.85,14.8,7.0,1.19,25.0,18.0,72.0,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,,19860.0,1032716.0,43.0,8.0
Janis Blaswich,RB Leipzig,32.0,GK,GER,2024,Bundesliga,1991.0,21.0,30.0,4.0,0.0,7.0,0.0,25.3,0.28,-4.7,-0.22,57.0,155.0,36.8,822.0,89.0,14.7,25.7,134.0,25.4,30.7,251.0,16.0,6.4,37.0,1.76,17.6,30.0,1.43,76.0,46.0,65.8,10.0,4.0,7.0,5.0,23.8,4.0,4.0,0.0,0.0,0.0,24825.0,1290895.0,689.0,95.0
Péter Gulácsi,RB Leipzig,33.0,GK,HUN,2024,Bundesliga,1990.0,13.0,9.0,0.0,1.0,1.0,1.0,10.3,0.25,2.3,0.17,22.0,79.0,27.8,373.0,58.0,12.9,25.1,97.0,32.0,32.2,175.0,7.0,4.0,14.0,1.08,14.5,9.0,0.69,41.0,33.0,78.0,9.0,4.0,0.0,5.0,38.5,1.0,0.0,0.0,1.0,,92680.0,4819340.0,804.0,126.0
Cárdenas,Rayo Vallecano,26.0,GK,ESP,2024,La Liga,1997.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.93,-0.1,-0.07,2.0,15.0,13.3,36.0,5.0,36.1,36.3,4.0,50.0,53.5,5.0,0.0,0.0,2.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,7447.0,387268.0,,
Stole Dimitrievski,Rayo Vallecano,29.0,GK,MKD,2024,La Liga,1993.0,37.0,47.0,1.0,1.0,5.0,2.0,46.9,0.31,1.9,0.05,168.0,598.0,28.1,928.0,171.0,47.1,39.4,267.0,60.3,48.4,529.0,23.0,4.3,38.0,1.03,14.6,47.0,1.27,150.0,104.0,69.3,8.0,14.0,15.0,13.0,35.1,2.0,1.0,1.0,0.0,50.0,10923.0,567994.0,,
Kepa Arrizabalaga,Real Madrid,28.0,GK,ESP,2024,La Liga,1994.0,13.3,9.0,0.0,0.0,0.0,1.0,10.0,0.28,2.0,0.15,34.0,92.0,37.0,386.0,57.0,19.2,27.0,70.0,25.7,30.6,157.0,6.0,3.8,10.0,0.75,14.7,9.0,0.68,38.0,30.0,76.3,10.0,2.0,1.0,8.0,61.5,0.0,0.0,0.0,0.0,,148949.0,7745368.0,200.0,41.0
Thibaut Courtois,Real Madrid,31.0,GK,BEL,2024,La Liga,1992.0,3.7,0.0,0.0,0.0,0.0,0.0,3.1,0.22,3.1,0.85,10.0,19.0,52.6,105.0,25.0,16.2,26.7,18.0,11.1,27.8,47.0,2.0,4.3,5.0,1.36,15.3,0.0,0.0,15.0,15.0,100.0,3.0,1.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,,248249.0,12908947.0,295.0,61.0
Andriy Lunin,Real Madrid,24.0,GK,UKR,2024,La Liga,1999.0,21.0,17.0,1.0,0.0,2.0,0.0,21.2,0.31,4.2,0.2,35.0,99.0,35.4,548.0,95.0,13.7,25.2,116.0,20.7,28.7,283.0,27.0,9.5,23.0,1.1,12.2,17.0,0.81,65.0,48.0,75.4,16.0,5.0,0.0,10.0,47.6,1.0,1.0,0.0,0.0,0.0,46505.0,2418276.0,28.0,4.0
Unai Marrero,Real Sociedad,21.0,GK,ESP,2024,La Liga,2001.0,1.6,3.0,1.0,0.0,0.0,0.0,2.9,0.37,-0.1,-0.09,10.0,25.0,40.0,37.0,5.0,45.9,37.0,8.0,100.0,63.4,27.0,1.0,3.7,4.0,2.54,20.1,3.0,1.9,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2979.0,154907.0,,
Álex Remiro,Real Sociedad,28.0,GK,ESP,2024,La Liga,1995.0,36.4,36.0,5.0,0.0,5.0,1.0,37.9,0.26,2.9,0.08,182.0,440.0,41.4,1090.0,111.0,30.6,32.0,163.0,65.6,50.9,383.0,18.0,4.7,54.0,1.48,16.9,36.0,0.99,130.0,94.0,76.2,16.0,12.0,9.0,15.0,40.5,6.0,5.0,1.0,0.0,16.7,46340.0,2409670.0,37.0,7.0
Yehvann Diouf,Reims,23.0,GK,FRA,2024,Ligue 1,1999.0,34.0,47.0,6.0,1.0,4.0,1.0,42.7,0.27,-3.3,-0.1,124.0,353.0,35.1,1135.0,179.0,25.2,30.1,157.0,42.7,36.9,522.0,38.0,7.3,46.0,1.35,14.2,47.0,1.38,137.0,90.0,70.1,13.0,8.0,13.0,8.0,23.5,7.0,6.0,1.0,0.0,14.3,9930.0,516358.0,,
Steve Mandanda,Rennes,38.0,GK,FRA,2024,Ligue 1,1985.0,34.0,46.0,3.0,0.0,5.0,3.0,38.2,0.25,-4.8,-0.14,134.0,416.0,32.2,1017.0,149.0,29.9,31.5,192.0,58.3,43.1,451.0,36.0,8.0,37.0,1.09,15.1,46.0,1.35,147.0,104.0,70.7,12.0,10.0,12.0,7.0,20.6,3.0,3.0,0.0,0.0,0.0,37734.0,1962160.0,421.0,62.0
Rui Patrício,Roma,35.0,GK,POR,2024,Serie A,1988.0,23.0,27.0,2.0,0.0,2.0,2.0,23.4,0.29,-1.6,-0.07,90.0,211.0,42.7,492.0,86.0,31.5,31.0,137.0,40.9,34.9,309.0,16.0,5.2,8.0,0.35,11.7,27.0,1.17,74.0,49.0,66.2,11.0,5.0,7.0,6.0,26.1,3.0,2.0,0.0,1.0,0.0,63717.0,3313296.0,78.0,26.0
Mile Svilar,Roma,23.0,GK,SRB,2024,Serie A,1999.0,15.0,19.0,1.0,0.0,3.0,1.0,20.2,0.24,2.2,0.14,44.0,116.0,37.9,516.0,77.0,15.9,25.3,89.0,38.2,36.2,208.0,16.0,7.7,7.0,0.47,12.0,19.0,1.27,77.0,58.0,76.6,7.0,4.0,4.0,5.0,33.3,2.0,1.0,1.0,0.0,50.0,21184.0,1101563.0,62.0,14.0
Benoît Costil,Salernitana,36.0,GK,FRA,2024,Serie A,1987.0,13.0,29.0,3.0,0.0,2.0,1.0,23.6,0.32,-4.4,-0.34,71.0,228.0,31.1,323.0,45.0,48.0,37.0,104.0,70.2,51.1,212.0,2.0,0.9,19.0,1.46,18.2,29.0,2.23,66.0,38.0,60.6,2.0,3.0,8.0,1.0,7.7,3.0,3.0,0.0,0.0,0.0,13736.0,714295.0,122.0,52.0
Vincenzo Fiorillo,Salernitana,33.0,GK,ITA,2024,Serie A,1990.0,4.0,8.0,0.0,0.0,4.0,0.0,7.3,0.28,-0.7,-0.18,27.0,96.0,28.1,72.0,9.0,68.1,44.9,54.0,87.0,56.6,77.0,4.0,5.2,1.0,0.25,7.6,8.0,2.0,26.0,18.0,69.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,8275.0,430298.0,123.0,17.0
Guillermo Ochoa,Salernitana,38.0,GK,MEX,2024,Serie A,1985.0,21.0,44.0,7.0,0.0,3.0,1.0,37.2,0.27,-5.8,-0.28,85.0,323.0,26.3,479.0,73.0,46.3,37.5,171.0,59.1,44.4,342.0,9.0,2.6,11.0,0.52,13.6,44.0,2.1,115.0,72.0,67.8,0.0,6.0,15.0,1.0,4.8,7.0,7.0,0.0,0.0,0.0,24494.0,1273683.0,47.0,9.0
Andrea Consigli,Sassuolo,36.0,GK,ITA,2024,Serie A,1987.0,35.0,68.0,7.0,1.0,7.0,3.0,51.7,0.28,-13.3,-0.38,172.0,540.0,31.9,982.0,143.0,42.3,36.9,252.0,49.6,41.2,545.0,23.0,4.2,22.0,0.63,11.8,68.0,1.94,159.0,93.0,61.6,6.0,8.0,21.0,3.0,8.6,10.0,7.0,1.0,2.0,12.5,30617.0,1592103.0,79.0,17.0
Alessio Cragno,Sassuolo,29.0,GK,ITA,2024,Serie A,1994.0,3.0,7.0,1.0,1.0,1.0,1.0,5.1,0.3,-0.9,-0.28,17.0,45.0,37.8,78.0,11.0,50.0,37.8,22.0,27.3,30.5,37.0,3.0,8.1,8.0,2.67,18.6,7.0,2.33,14.0,8.0,57.1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,30617.0,1592103.0,864.0,168.0
Marko Dmitrović,Sevilla,31.0,GK,SRB,2024,La Liga,1992.0,13.0,25.0,2.0,0.0,3.0,1.0,22.6,0.3,-1.4,-0.11,52.0,148.0,35.1,314.0,70.0,32.5,32.7,79.0,58.2,45.9,152.0,11.0,7.2,15.0,1.15,15.4,25.0,1.92,68.0,44.0,66.2,2.0,2.0,9.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0,20853.0,1084352.0,206.0,42.0
Ørjan Nyland,Sevilla,32.0,GK,NOR,2024,La Liga,1990.0,24.0,27.0,3.0,1.0,1.0,1.0,29.8,0.26,3.8,0.16,166.0,449.0,37.0,583.0,108.0,49.9,39.4,201.0,78.6,56.4,359.0,20.0,5.6,17.0,0.71,13.5,27.0,1.13,104.0,78.0,76.9,8.0,9.0,7.0,6.0,25.0,3.0,3.0,0.0,0.0,0.0,9930.0,516358.0,606.0,102.0
Wes Foderingham,Sheffield Utd,32.0,GK,ENG,2024,Premier League,1991.0,29.4,79.0,5.0,0.0,8.0,5.0,70.5,0.33,-3.5,-0.12,206.0,619.0,33.3,782.0,101.0,54.6,40.2,262.0,73.3,52.3,468.0,28.0,6.0,42.0,1.43,14.7,79.0,2.68,204.0,130.0,63.7,3.0,4.0,22.0,1.0,3.4,6.0,5.0,0.0,1.0,0.0,12500.0,650000.0,17.0,3.0
Ivo Grbić,Sheffield Utd,27.0,GK,CRO,2024,Premier League,1996.0,8.6,25.0,0.0,0.0,4.0,2.0,14.7,0.25,-8.3,-0.97,65.0,199.0,32.7,207.0,25.0,57.5,41.2,89.0,89.9,59.4,193.0,11.0,5.7,14.0,1.63,14.4,25.0,2.92,59.0,36.0,57.6,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,,14233.0,740113.0,,
Alaa Bellaarouch,Strasbourg,21.0,GK,MAR,2024,Ligue 1,2002.0,15.0,26.0,3.0,0.0,1.0,1.0,19.8,0.25,-5.2,-0.35,56.0,183.0,30.6,440.0,57.0,36.4,34.4,61.0,37.7,36.0,203.0,19.0,9.4,21.0,1.4,13.4,26.0,1.73,63.0,37.0,63.5,4.0,2.0,9.0,2.0,13.3,4.0,3.0,1.0,0.0,25.0,2648.0,137695.0,146.0,26.0
Matz Sels,Strasbourg,31.0,GK,BEL,2024,Ligue 1,1992.0,19.0,24.0,1.0,0.0,2.0,2.0,20.0,0.31,-2.0,-0.11,88.0,226.0,38.9,505.0,68.0,37.4,34.5,113.0,32.7,33.7,257.0,6.0,2.3,19.0,1.0,13.9,24.0,1.26,62.0,40.0,62.9,6.0,7.0,6.0,3.0,15.8,1.0,1.0,0.0,0.0,0.0,17874.0,929444.0,378.0,56.0
