Player,Squad,Age,Pos,Nation,Season_End_Year,Comp,Born,Mins_Per_90_Playing,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG._per__minus__Expected,X_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att..GK._Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,X.OPA_Sweeper,X.OPA_per_90_Sweeper,AvgDist_Sweeper,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Weekly_Wages_Pounds,Annual_Wages_Pounds,Career_Injuries_Duration,Career_Games_Missed
Claudio Bravo,Betis,40.0,GK,CHI,2024,La Liga,1983.0,7.0,5.0,0.0,0.0,0.0,1.0,5.5,0.27,1.5,0.21,38.0,80.0,47.5,169.0,30.0,30.2,30.6,60.0,48.3,40.1,101.0,4.0,4.0,6.0,0.86,12.6,5.0,0.71,20.0,16.0,75.0,3.0,4.0,0.0,2.0,28.6,0.0,0.0,0.0,0.0,,19860.0,1032716.0,998.0,230.0
Rui Silva,Betis,29.0,GK,POR,2024,La Liga,1994.0,27.5,36.0,7.0,2.0,3.0,2.0,37.5,0.26,3.5,0.13,129.0,380.0,33.9,772.0,119.0,36.0,33.5,183.0,55.7,43.0,375.0,31.0,8.3,34.0,1.24,14.9,36.0,1.31,120.0,85.0,75.8,10.0,9.0,9.0,9.0,32.1,8.0,7.0,1.0,0.0,12.5,14895.0,774537.0,11.0,3.0
Andreas Luthe,Bochum,36.0,GK,GER,2024,Bundesliga,1987.0,1.0,4.0,0.0,0.0,0.0,1.0,2.7,0.68,-0.3,-0.3,20.0,43.0,46.5,42.0,2.0,85.7,51.3,7.0,100.0,61.1,13.0,0.0,0.0,0.0,0.0,7.7,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4965.0,258179.0,180.0,27.0
Manuel Riemann,Bochum,34.0,GK,GER,2024,Bundesliga,1988.0,33.0,70.0,9.0,0.0,9.0,3.0,59.6,0.27,-7.4,-0.22,430.0,1041.0,41.3,1498.0,89.0,61.0,42.5,208.0,61.1,46.9,510.0,35.0,6.9,104.0,3.15,19.8,70.0,2.12,185.0,116.0,67.0,7.0,12.0,14.0,4.0,12.1,11.0,9.0,2.0,0.0,18.2,13902.0,722901.0,374.0,30.0
Nicola Bagnolini,Bologna,19.0,GK,ITA,2024,Serie A,2004.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.36,1.0,2.0,50.0,1.0,0.0,100.0,47.0,2.0,50.0,53.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2813.0,146301.0,184.0,40.0
Federico Ravaglia,Bologna,23.0,GK,ITA,2024,Serie A,1999.0,5.9,3.0,0.0,1.0,0.0,0.0,5.5,0.25,2.5,0.43,14.0,49.0,28.6,172.0,23.0,18.0,25.4,34.0,52.9,41.0,73.0,1.0,1.4,4.0,0.67,17.1,3.0,0.5,18.0,13.0,83.3,4.0,1.0,1.0,4.0,66.7,1.0,0.0,1.0,0.0,100.0,2813.0,146301.0,20.0,3.0
Łukasz Skorupski,Bologna,32.0,GK,POL,2024,Serie A,1991.0,32.0,29.0,3.0,1.0,3.0,1.0,26.6,0.23,-1.4,-0.05,103.0,297.0,34.7,829.0,136.0,26.3,29.6,188.0,42.0,38.7,432.0,12.0,2.8,15.0,0.47,12.2,29.0,0.91,106.0,77.0,75.5,14.0,13.0,5.0,13.0,40.6,6.0,3.0,1.0,2.0,25.0,27638.0,1437196.0,215.0,36.0
Neto,Bournemouth,34.0,GK,BRA,2024,Premier League,1989.0,32.0,55.0,5.0,1.0,3.0,1.0,55.2,0.31,1.2,0.04,172.0,494.0,34.8,833.0,154.0,44.1,36.9,223.0,57.0,44.2,413.0,26.0,6.3,34.0,1.06,13.7,55.0,1.72,165.0,110.0,69.7,10.0,9.0,13.0,7.0,21.9,6.0,5.0,1.0,0.0,16.7,50000.0,2600000.0,263.0,33.0
Ionuț Radu,Bournemouth,26.0,GK,ROU,2024,Premier League,1997.0,2.0,7.0,0.0,0.0,3.0,0.0,2.9,0.27,-4.1,-2.04,5.0,15.0,33.3,57.0,10.0,19.3,26.9,11.0,36.4,29.2,19.0,2.0,10.5,0.0,0.0,9.6,7.0,3.5,11.0,4.0,36.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,30000.0,1560000.0,,
Mark Travers,Bournemouth,24.0,GK,IRL,2024,Premier League,1999.0,4.0,5.0,1.0,0.0,0.0,0.0,5.0,0.23,0.0,0.01,22.0,72.0,30.6,92.0,13.0,55.4,41.7,26.0,80.8,55.6,60.0,3.0,5.0,3.0,0.75,14.8,5.0,1.25,18.0,13.0,77.8,2.0,0.0,2.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,20000.0,1040000.0,,
