"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2024,"Almería","La Liga","Houboulang Mendes","GNB","DF","25",1998,4.4,177,114,61,8,0,1,4,53,0,0,0,0,129,2,3,"https://fbref.com/en/players/1545cf15/Houboulang-Mendes"
2024,"Almería","La Liga","Marko Milovanović","SRB","FW,MF","19",2003,3.4,68,64,4,0,0,0,1,0,0,0,0,0,43,0,2,"https://fbref.com/en/players/1fda2b14/Marko-Milovanovic"
2024,"Almería","La Liga","César Montes","MEX","DF","26",1997,19.9,973,927,39,36,1,16,3,0,0,0,0,0,750,7,4,"https://fbref.com/en/players/28e957d7/Cesar-Montes"
2024,"Almería","La Liga","Marcos Peña","ESP","MF","18",2005,4.9,217,209,8,8,0,0,0,0,0,0,0,0,188,0,2,"https://fbref.com/en/players/736c14ec/Marcos-Pena"
2024,"Almería","La Liga","Alejandro Pozo Pozo","ESP","DF,MF","24",1999,10.8,598,481,112,9,1,1,41,103,0,0,0,0,443,5,20,"https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo"
2024,"Almería","La Liga","Pubill","ESP","DF","20",2003,20.9,958,743,213,26,0,3,68,187,0,0,0,0,686,2,32,"https://fbref.com/en/players/365113c0/Pubill"
2024,"Almería","La Liga","Arnau Puigmal","ESP","FW,DF","22",2001,2.8,93,80,13,2,0,0,14,5,5,3,2,0,65,0,3,"https://fbref.com/en/players/39352da2/Arnau-Puigmal"
2024,"Almería","La Liga","Aleksandar Radovanović","SRB","DF","29",1993,6.3,197,190,6,3,0,4,0,0,0,0,0,0,181,1,0,"https://fbref.com/en/players/09507ffa/Aleksandar-Radovanovic"
2024,"Almería","La Liga","Largie Ramazani","BEL","FW,MF","22",2001,17.3,340,331,7,1,4,2,32,3,1,1,0,0,203,2,17,"https://fbref.com/en/players/cc9256ef/Largie-Ramazani"
2024,"Almería","La Liga","Lucas Robertone","ARG","MF","26",1997,26.5,1363,1250,105,58,10,12,67,8,30,7,18,0,1107,8,18,"https://fbref.com/en/players/a8981944/Lucas-Robertone"
2024,"Almería","La Liga","Luka Romero","ARG","FW","18",2004,4.9,148,145,3,2,0,0,2,1,0,0,0,0,137,0,0,"https://fbref.com/en/players/ca6edaa0/Luka-Romero"
2024,"Almería","La Liga","Marciano Sanca","GNB","FW,MF","19",2004,0.5,24,22,2,0,0,0,1,0,0,0,0,0,14,0,2,"https://fbref.com/en/players/39a938cb/Marciano-Sanca"
2024,"Almería","La Liga","Paco Sanz","ESP","DF","18",2004,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,"https://fbref.com/en/players/b7aa8fd8/Paco-Sanz"
2024,"Almería","La Liga","Jonathan Viera","ESP","MF","33",1989,10.1,545,512,31,20,5,0,6,4,2,1,0,0,468,2,8,"https://fbref.com/en/players/efa708aa/Jonathan-Viera"
2024,"Arsenal","Premier League","Mohamed Elneny","EGY","MF","31",1992,0.3,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny"
2024,"Arsenal","Premier League","Kai Havertz","GER","MF,FW","24",1999,29.3,955,938,12,3,2,0,12,6,0,0,0,0,764,5,16,"https://fbref.com/en/players/fed7cb61/Kai-Havertz"
2024,"Arsenal","Premier League","Gabriel Jesus","BRA","FW","26",1997,16.4,513,482,23,2,8,2,9,6,0,0,0,0,403,8,18,"https://fbref.com/en/players/b66315ae/Gabriel-Jesus"
2024,"Arsenal","Premier League","Jorginho","ITA","MF","31",1991,10.2,785,759,18,13,5,1,3,1,0,0,0,0,699,8,5,"https://fbref.com/en/players/45db685d/Jorginho"
2024,"Arsenal","Premier League","Jakub Kiwior","POL","DF","23",2000,10.5,625,550,73,6,1,1,12,67,0,0,0,0,523,2,2,"https://fbref.com/en/players/dc3e663e/Jakub-Kiwior"
2024,"Arsenal","Premier League","Gabriel Magalhães","BRA","DF","25",1997,33.8,2157,2030,122,53,2,4,4,4,0,0,0,0,1914,5,22,"https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes"
2024,"Arsenal","Premier League","Gabriel Martinelli","BRA","FW","22",2001,22.4,929,878,49,3,3,3,109,11,35,30,0,0,724,2,29,"https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli"
2024,"Arsenal","Premier League","Reiss Nelson","ENG","FW","23",1999,3,144,132,12,4,0,1,14,3,5,4,0,0,127,0,3,"https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson"
2024,"Arsenal","Premier League","Eddie Nketiah","ENG","FW","24",1999,12,215,199,16,0,3,0,5,1,0,0,0,0,168,0,10,"https://fbref.com/en/players/a53649b7/Eddie-Nketiah"
2024,"Arsenal","Premier League","Ethan Nwaneri","ENG","FW","16",2007,0.2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0,"https://fbref.com/en/players/7f94982c/Ethan-Nwaneri"
2024,"Arsenal","Premier League","Thomas Partey","GHA","MF,DF","30",1993,8.8,636,609,24,14,3,3,2,10,0,0,0,0,570,3,3,"https://fbref.com/en/players/529f49ab/Thomas-Partey"
2024,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","25",1998,6,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
2024,"Arsenal","Premier League","David Raya","ESP","GK","27",1995,32,1068,898,167,71,0,1,0,0,0,0,0,0,800,3,2,"https://fbref.com/en/players/98ea5115/David-Raya"
2024,"Arsenal","Premier League","Declan Rice","ENG","MF","24",1999,35.8,2295,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26,"https://fbref.com/en/players/1c7012b8/Declan-Rice"
2024,"Arsenal","Premier League","Bukayo Saka","ENG","FW","21",2001,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50,"https://fbref.com/en/players/bc7dc64d/Bukayo-Saka"
