nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
ESP,MF,27,1994,27,22,1856,20.6,0,3,3,0,0,0,6,1,0.3,0.3,1.3,1.5,15,104,7,0.0,0.15,0.15,0.0,0.15,0.01,0.06,0.07,0.01,0.07
URU,MF,26,1995,13,13,992,11.0,0,1,1,0,0,0,5,1,0.2,0.2,1.5,1.8,8,33,7,0.0,0.09,0.09,0.0,0.09,0.02,0.14,0.16,0.02,0.16
ESP,FW,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,"MF,FW",26,1995,28,10,1150,12.8,3,1,4,3,0,0,4,0,2.7,2.7,1.2,3.9,20,30,84,0.23,0.08,0.31,0.23,0.31,0.21,0.09,0.3,0.21,0.3
SRB,MF,27,1995,29,26,2053,22.8,0,0,0,0,0,0,3,0,1.8,1.8,0.6,2.3,13,42,29,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.1,0.08,0.1
PAR,DF,25,1996,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28,96,8,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06
ESP,"MF,DF",30,1992,34,17,1770,19.7,0,3,3,0,0,0,7,1,1.7,1.7,1.9,3.6,42,40,130,0.0,0.15,0.15,0.0,0.15,0.09,0.09,0.18,0.09,0.18
SRB,DF,32,1990,22,18,1680,18.7,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,1,17,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
ESP,MF,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
ESP,MF,25,1997,30,26,2337,26.0,1,5,6,1,0,0,1,0,1.8,1.8,6.2,8.0,41,156,76,0.04,0.19,0.23,0.04,0.23,0.07,0.24,0.31,0.07,0.31
PER,DF,30,1992,6,0,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,DF,19,2003,33,32,2732,30.4,3,4,7,3,0,0,11,0,1.9,1.9,4.3,6.3,64,113,98,0.1,0.13,0.23,0.1,0.23,0.06,0.14,0.21,0.06,0.21
COL,DF,33,1989,20,14,1225,13.6,1,1,2,1,0,0,5,0,1.2,1.2,0.0,1.2,8,36,3,0.07,0.07,0.15,0.07,0.15,0.09,0.0,0.09,0.09,0.09
ESP,"MF,FW",31,1990,11,10,679,7.5,1,0,1,1,0,0,1,0,0.7,0.7,0.6,1.3,7,39,32,0.13,0.0,0.13,0.13,0.13,0.09,0.08,0.17,0.09,0.17
URU,FW,35,1986,32,8,1090,12.1,9,0,9,4,5,6,8,0,9.7,5.0,1.3,6.2,2,10,26,0.74,0.0,0.74,0.33,0.33,0.8,0.1,0.9,0.41,0.51
ESP,DF,32,1989,20,19,1652,18.4,3,1,4,3,0,0,5,0,1.5,1.5,0.6,2.1,18,54,4,0.16,0.05,0.22,0.16,0.22,0.08,0.03,0.12,0.08,0.12
ESP,MF,23,1999,24,18,1586,17.6,3,3,6,3,0,0,2,0,2.4,2.4,2.2,4.7,30,56,82,0.17,0.17,0.34,0.17,0.34,0.14,0.13,0.27,0.14,0.27
ESP,DF,24,1998,25,13,1116,12.4,1,2,3,1,0,0,3,0,1.3,1.3,0.9,2.2,41,78,25,0.08,0.16,0.24,0.08,0.24,0.1,0.07,0.18,0.1,0.18
ESP,"MF,FW",17,2005,5,0,84,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,0,14,0.0,0.0,0.0,0.0,0.0,0.27,0.04,0.31,0.27,0.31
ESP,GK,34,1988,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,DF,31,1991,19,17,1426,15.8,1,0,1,1,0,0,3,0,0.5,0.5,0.3,0.8,8,38,3,0.06,0.0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05
ESP,"FW,MF",25,1997,7,2,206,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,7,10,25,0.0,0.44,0.44,0.0,0.44,0.02,0.12,0.14,0.02,0.14
ESP,DF,21,2001,34,27,2390,26.6,2,3,5,2,0,0,6,0,0.8,0.8,3.3,4.1,81,125,148,0.08,0.11,0.19,0.08,0.19,0.03,0.12,0.15,0.03,0.15
ESP,MF,30,1991,33,33,2950,32.8,2,0,2,2,0,0,10,1,1.6,1.6,0.9,2.5,15,133,16,0.06,0.0,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08
ESP,MF,19,2003,3,1,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
ARG,GK,30,1992,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ESP,MF,21,2000,8,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,6,4,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1
BRA,"MF,FW",20,2002,18,5,647,7.2,2,1,3,2,0,0,1,1,1.5,1.5,0.6,2.0,13,25,27,0.28,0.14,0.42,0.28,0.42,0.2,0.08,0.28,0.2,0.28
ESP,"MF,FW",19,2003,7,0,133,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,4,3,9,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35
ESP,"MF,FW",22,2000,34,25,2179,24.2,4,4,8,4,0,0,1,0,4.0,4.0,3.7,7.7,116,85,171,0.17,0.17,0.33,0.17,0.33,0.17,0.15,0.32,0.17,0.32
ESP,MF,31,1991,8,1,240,2.7,2,0,2,0,2,2,1,0,1.7,0.1,0.2,0.4,5,17,18,0.75,0.0,0.75,0.0,0.0,0.62,0.09,0.72,0.04,0.13
URU,DF,23,1998,34,34,3010,33.4,0,1,1,0,0,0,7,1,1.3,1.3,1.0,2.3,30,148,4,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.07,0.04,0.07
ESP,"MF,FW",27,1995,24,12,895,9.9,1,3,4,1,0,0,2,0,1.0,1.0,1.6,2.6,37,38,91,0.1,0.3,0.4,0.1,0.4,0.11,0.16,0.26,0.11,0.26
ARG,FW,23,1998,35,33,2597,28.9,13,0,13,12,1,1,11,0,11.2,10.4,1.7,12.1,30,34,128,0.45,0.0,0.45,0.42,0.42,0.39,0.06,0.45,0.36,0.42
ESP,"MF,DF",22,1999,25,7,967,10.7,0,2,2,0,0,0,1,0,0.7,0.7,1.2,1.9,18,20,84,0.0,0.19,0.19,0.0,0.19,0.07,0.11,0.18,0.07,0.18
UKR,MF,24,1997,19,17,1489,16.5,3,6,9,3,0,0,0,0,2.8,2.8,2.9,5.7,63,46,120,0.18,0.36,0.54,0.18,0.54,0.17,0.17,0.34,0.17,0.34
BRA,"DF,MF",20,2002,25,12,1158,12.9,1,2,3,1,0,0,3,0,0.5,0.5,2.5,3.0,56,55,89,0.08,0.16,0.23,0.08,0.23,0.04,0.19,0.23,0.04,0.23
VEN,"MF,FW",24,1998,20,12,963,10.7,2,2,4,2,0,0,4,0,2.3,2.3,1.0,3.3,18,46,56,0.19,0.19,0.37,0.19,0.37,0.22,0.1,0.31,0.21,0.31
ESP,"FW,MF",29,1992,26,2,416,4.6,1,1,2,1,0,0,1,0,0.7,0.7,1.4,2.1,1,8,15,0.22,0.22,0.43,0.22,0.43,0.15,0.31,0.45,0.15,0.45
SEN,"MF,FW",26,1996,28,12,1227,13.6,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33,16,69,0.15,0.0,0.15,0.15,0.15,0.2,0.06,0.25,0.2,0.25
ESP,DF,30,1991,31,31,2766,30.7,2,3,5,2,0,0,11,1,0.6,0.6,1.1,1.7,8,50,5,0.07,0.1,0.16,0.07,0.16,0.02,0.03,0.05,0.02,0.05
ESP,"MF,DF",25,1997,32,11,1076,12.0,0,0,0,0,0,0,5,0,0.6,0.6,0.8,1.4,22,34,56,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12
ARG,DF,25,1996,5,2,220,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,9,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
FRA,MF,31,1991,21,6,718,8.0,0,0,0,0,0,0,7,0,0.2,0.2,1.1,1.3,4,40,26,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17
ESP,DF,22,1999,28,27,2206,24.5,1,0,1,1,0,0,7,1,1.0,0.5,0.2,0.7,14,58,3,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.02,0.03
ESP,MF,34,1988,35,26,2100,23.3,3,6,9,3,0,0,8,0,2.4,2.4,3.2,5.6,43,76,64,0.13,0.26,0.39,0.13,0.39,0.1,0.14,0.24,0.1,0.24
BIH,DF,24,1998,8,7,614,6.8,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,19,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
SVK,GK,25,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,DF,27,1994,3,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URU,DF,27,1994,15,9,926,10.3,0,2,2,0,0,0,5,0,0.2,0.2,1.2,1.4,10,28,39,0.0,0.19,0.19,0.0,0.19,0.02,0.12,0.14,0.02,0.14
GHA,"MF,DF",26,1996,29,20,1705,18.9,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.8,3,47,8,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
ESP,MF,28,1993,30,28,2449,27.2,0,1,1,0,0,0,12,0,0.3,0.3,1.4,1.7,20,127,21,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06
ESP,DF,34,1988,32,30,2599,28.9,0,1,1,0,0,0,10,0,1.0,1.0,2.5,3.5,60,74,123,0.0,0.03,0.03,0.0,0.03,0.04,0.09,0.12,0.04,0.12
ESP,FW,19,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,"DF,MF",22,2000,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV,"FW,MF",31,1990,5,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
KOR,"MF,FW",21,2001,36,33,2823,31.4,6,6,12,6,0,0,10,0,5.4,5.4,5.4,10.8,107,96,139,0.19,0.19,0.38,0.19,0.38,0.17,0.17,0.34,0.17,0.34
ESP,GK,22,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWE,DF,28,1994,4,1,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
ESP,MF,23,1999,12,9,706,7.8,1,0,1,1,0,0,3,0,0.3,0.3,0.7,1.0,10,26,6,0.13,0.0,0.13,0.13,0.13,0.03,0.09,0.12,0.03,0.12
SVK,DF,26,1995,30,30,2656,29.5,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,15,57,3,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
SRB,DF,29,1993,14,10,906,10.1,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.5,4,25,1,0.1,0.0,0.1,0.1,0.1,0.05,0.0,0.05,0.05,0.05
ESP,DF,25,1997,35,34,2975,33.1,2,4,6,2,0,0,6,1,1.8,1.8,3.0,4.8,67,61,134,0.06,0.12,0.18,0.06,0.18,0.05,0.09,0.14,0.05,0.14
SRB,GK,26,1995,36,36,3240,36.0,0,0,0,0,0,0,3,0,0.0,0.0,0.5,0.5,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ARG,MF,31,1991,15,8,686,7.6,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,3,19,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ESP,DF,20,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIM,"FW,MF",26,1996,15,5,542,6.0,1,0,1,1,0,0,1,0,1.6,1.6,0.6,2.2,14,4,29,0.17,0.0,0.17,0.17,0.17,0.26,0.1,0.37,0.26,0.37
KVX,FW,28,1994,35,34,2937,32.6,15,3,18,11,4,5,6,1,12.5,8.6,2.1,10.6,28,60,152,0.46,0.09,0.55,0.34,0.43,0.38,0.06,0.45,0.26,0.33
ESP,"FW,MF",35,1987,17,2,394,4.4,1,0,1,1,0,0,1,0,2.8,2.8,0.1,2.8,4,6,19,0.23,0.0,0.23,0.23,0.23,0.63,0.02,0.64,0.63,0.64
MAR,"FW,MF",20,2001,28,19,1504,16.7,4,2,6,4,0,0,4,2,2.7,2.7,1.9,4.6,93,44,136,0.24,0.12,0.36,0.24,0.36,0.16,0.11,0.27,0.16,0.27
ESP,"MF,FW",20,2001,31,23,2013,22.4,3,6,9,2,1,1,6,0,3.6,2.8,2.8,5.5,35,86,144,0.13,0.27,0.4,0.09,0.36,0.16,0.12,0.28,0.12,0.25
ESP,GK,31,1991,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRO,FW,31,1991,31,22,1798,20.0,8,0,8,8,0,0,5,0,7.6,7.6,0.7,8.3,23,23,98,0.4,0.0,0.4,0.4,0.4,0.38,0.03,0.41,0.38,0.41
ESP,DF,33,1989,23,20,1793,19.9,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,6,47,0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05
SRB,MF,30,1992,25,9,1041,11.6,1,1,2,1,0,0,5,0,1.2,1.2,0.6,1.8,18,49,36,0.09,0.09,0.17,0.09,0.17,0.1,0.05,0.15,0.1,0.15
ESP,DF,28,1994,32,31,2680,29.8,2,0,2,2,0,0,8,1,0.7,0.7,0.4,1.1,16,105,4,0.07,0.0,0.07,0.07,0.07,0.02,0.01,0.04,0.02,0.04
ESP,DF,21,2001,11,7,638,7.1,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,9,14,19,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08
ARG,"FW,MF",28,1994,29,23,1709,19.0,8,2,10,6,2,3,7,1,7.0,4.7,1.8,6.5,23,39,96,0.42,0.11,0.53,0.32,0.42,0.37,0.1,0.47,0.25,0.34
ESP,"FW,MF",19,2002,4,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,9,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14
ESP,MF,19,2002,8,2,254,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,12,4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ESP,"MF,DF",24,1998,37,25,2448,27.2,1,3,4,1,0,0,6,0,2.0,2.0,1.8,3.8,34,175,50,0.04,0.11,0.15,0.04,0.15,0.07,0.07,0.14,0.07,0.14
ESP,DF,21,2001,1,1,25,0.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,DF,30,1992,27,21,2062,22.9,0,0,0,0,0,0,7,0,0.2,0.2,1.0,1.2,15,68,55,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
ESP,"FW,MF",25,1997,27,15,1312,14.6,1,6,7,1,0,0,1,0,1.2,1.2,3.9,5.1,61,35,185,0.07,0.41,0.48,0.07,0.48,0.08,0.26,0.35,0.08,0.35
ESP,FW,32,1989,35,7,1021,11.3,2,0,2,1,1,1,5,0,4.4,3.6,1.1,4.7,16,15,58,0.18,0.0,0.18,0.09,0.09,0.39,0.1,0.48,0.32,0.41
ESP,MF,28,1994,33,31,2477,27.5,1,0,1,1,0,0,10,0,1.4,1.4,0.3,1.6,12,98,17,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06
ESP,DF,21,2000,31,22,2124,23.6,0,2,2,0,0,0,3,0,0.8,0.8,2.1,2.8,42,100,105,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12
ESP,"MF,FW",28,1994,33,28,2453,27.3,3,2,5,3,0,0,5,0,1.8,1.8,4.5,6.2,37,184,67,0.11,0.07,0.18,0.11,0.18,0.06,0.16,0.23,0.06,0.23
ESP,DF,27,1995,20,15,1247,13.9,0,0,0,0,0,0,4,0,0.6,0.6,0.6,1.2,20,47,52,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08
ESP,MF,23,1998,25,12,1064,11.8,0,1,1,0,0,0,1,0,1.3,1.3,0.8,2.0,15,59,42,0.0,0.08,0.08,0.0,0.08,0.11,0.07,0.17,0.11,0.17
ESP,"FW,MF",33,1989,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.13,2.13,0.0,2.13
ESP,"FW,MF",29,1993,29,11,1159,12.9,2,2,4,2,0,0,2,0,1.8,1.8,2.0,3.8,16,40,92,0.16,0.16,0.31,0.16,0.31,0.14,0.15,0.29,0.14,0.29
ESP,"DF,MF",31,1991,20,14,1277,14.2,0,1,1,0,0,0,2,1,1.2,1.2,1.0,2.2,32,61,59,0.0,0.07,0.07,0.0,0.07,0.08,0.07,0.15,0.08,0.15
ESP,GK,29,1993,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,DF,30,1992,21,20,1713,19.0,0,1,1,0,0,0,6,1,0.2,0.2,0.1,0.3,11,51,3,0.0,0.05,0.05,0.0,0.05,0.01,0.0,0.02,0.01,0.02
GHA,DF,24,1998,16,9,922,10.2,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,5,19,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ESP,"FW,MF",23,1999,9,3,205,2.3,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,3,4,22,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.43,0.21,0.43
CPV,FW,32,1990,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,1,10,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25
ESP,DF,27,1994,35,35,3103,34.5,1,1,2,1,0,0,14,1,1.4,1.4,1.4,2.8,8,119,2,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08
ESP,GK,40,1981,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,MF,18,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNE,FW,31,1991,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,DF,31,1991,31,31,2565,28.5,4,0,4,4,0,0,6,3,2.8,2.8,0.3,3.1,8,80,3,0.14,0.0,0.14,0.14,0.14,0.1,0.01,0.11,0.1,0.11
ESP,DF,22,1999,38,38,3407,37.9,2,3,5,2,0,0,1,0,1.2,1.2,1.6,2.8,183,147,167,0.05,0.08,0.13,0.05,0.13,0.03,0.04,0.07,0.03,0.07
ESP,"FW,MF",27,1994,37,36,2965,32.9,9,5,14,8,1,3,4,0,7.7,5.3,5.2,10.5,49,127,181,0.27,0.15,0.42,0.24,0.39,0.23,0.16,0.39,0.16,0.32
ALB,DF,30,1992,37,37,3232,35.9,0,0,0,0,0,0,6,0,0.3,0.3,2.8,3.1,75,131,147,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09
ESP,"MF,FW",26,1996,8,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,6,7,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14
ESP,DF,23,1999,3,1,103,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,3,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
ESP,"MF,DF",35,1987,2,0,12,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,MF,18,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN,"MF,DF",28,1994,32,12,1282,14.2,1,0,1,1,0,0,4,0,2.6,2.6,0.3,2.9,10,65,5,0.07,0.0,0.07,0.07,0.07,0.18,0.02,0.2,0.18,0.2
ESP,"FW,MF",24,1998,16,2,366,4.1,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.8,13,19,25,0.0,0.49,0.49,0.0,0.49,0.02,0.17,0.19,0.02,0.19
COL,"FW,MF",36,1986,27,3,616,6.8,2,0,2,1,1,1,4,0,2.9,2.1,0.1,2.2,2,14,53,0.29,0.0,0.29,0.15,0.15,0.42,0.01,0.43,0.3,0.32
FRA,"FW,MF",24,1997,10,0,116,1.3,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.3,3,6,7,0.0,0.0,0.0,0.0,0.0,0.19,0.01,0.2,0.19,0.2
ESP,FW,27,1994,19,9,805,8.9,4,0,4,3,1,2,2,0,5.1,3.5,0.5,4.0,13,18,51,0.45,0.0,0.45,0.34,0.34,0.57,0.06,0.63,0.39,0.45
ESP,"FW,MF",31,1991,24,4,490,5.4,0,0,0,0,0,0,2,0,0.8,0.8,0.7,1.4,27,13,51,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.26,0.14,0.26
ESP,MF,25,1996,35,29,2451,27.2,3,2,5,3,0,0,6,0,2.5,2.5,2.2,4.6,40,150,58,0.11,0.07,0.18,0.11,0.18,0.09,0.08,0.17,0.09,0.17
ESP,FW,21,2001,38,27,2401,26.7,6,5,11,6,0,0,1,0,7.3,7.3,2.4,9.6,40,42,122,0.22,0.19,0.41,0.22,0.41,0.27,0.09,0.36,0.27,0.36
MKD,GK,28,1993,37,37,3324,36.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,MF,26,1995,34,12,1254,13.9,1,2,3,1,0,0,2,0,1.3,1.3,1.4,2.7,17,98,43,0.07,0.14,0.22,0.07,0.22,0.09,0.1,0.19,0.09,0.19
ESP,"FW,MF",29,1992,35,34,2870,31.9,5,5,10,5,0,0,7,0,3.6,3.6,5.7,9.3,116,71,293,0.16,0.16,0.31,0.16,0.31,0.11,0.18,0.29,0.11,0.29
ARG,"MF,FW",34,1988,34,28,2145,23.8,3,4,7,2,1,2,9,0,3.4,1.8,3.3,5.1,56,123,110,0.13,0.17,0.29,0.08,0.25,0.14,0.14,0.28,0.08,0.21
ESP,MF,27,1994,34,29,2555,28.4,0,0,0,0,0,0,11,0,0.5,0.5,0.9,1.4,21,133,17,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
UKR,GK,23,1999,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER,DF,29,1993,33,26,2415,26.8,1,0,1,1,0,0,1,0,1.8,1.8,0.1,1.9,21,59,10,0.04,0.0,0.04,0.04,0.04,0.07,0.0,0.07,0.07,0.07
FRA,MF,22,2000,33,24,2119,23.5,0,4,4,0,0,0,2,0,1.8,1.8,2.2,4.0,41,142,23,0.0,0.17,0.17,0.0,0.17,0.08,0.09,0.17,0.08,0.17
BRA,MF,30,1992,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,DF,30,1992,27,20,1784,19.8,0,2,2,0,0,0,8,1,0.8,0.8,2.0,2.8,22,58,147,0.0,0.1,0.1,0.0,0.1,0.04,0.1,0.14,0.04,0.14
ESP,MF,25,1996,30,19,1564,17.4,0,4,4,0,0,0,8,0,0.9,0.9,2.1,3.0,60,204,60,0.0,0.23,0.23,0.0,0.23,0.05,0.12,0.17,0.05,0.17
AUT,DF,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09
BEL,FW,31,1991,6,2,196,2.2,0,1,1,0,0,1,0,0,1.0,0.2,0.5,0.7,6,8,25,0.0,0.46,0.46,0.0,0.46,0.45,0.23,0.67,0.08,0.31
FRA,"MF,DF",19,2002,37,21,2010,22.3,0,1,1,0,0,0,6,0,0.8,0.8,1.5,2.3,69,165,99,0.0,0.04,0.04,0.0,0.04,0.04,0.07,0.1,0.04,0.1
URU,"MF,FW",24,1998,34,29,2502,27.8,7,4,11,7,0,0,2,0,4.3,4.3,6.3,10.6,70,151,135,0.25,0.14,0.4,0.25,0.4,0.15,0.23,0.38,0.15,0.38
FRA,DF,27,1995,18,17,1351,15.0,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,23,56,73,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06
