"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2024,"Almería","La Liga","Luis Javier Suárez","COL","FW","25",1997,10.2,334,11,28,151,160,56,333,23,12,52.2,9,39.1,195,1501,685,30,12,15,30,10,229,53,"https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez"
2024,"Almería","La Liga","Kaiky","BRA","DF","19",2004,5.8,317,50,175,137,6,4,317,4,3,75,1,25,182,1023,683,4,0,0,1,0,200,1,"https://fbref.com/en/players/55634fb8/Kaiky"
2024,"Almería","La Liga","Ibrahima Koné","MLI","FW","24",1999,3.1,83,5,7,41,37,10,83,4,1,25,2,50,44,208,112,5,1,4,7,1,58,18,"https://fbref.com/en/players/04bb2b06/Ibrahima-Kone"
2024,"Almería","La Liga","Bruno Langa","MOZ","DF","25",1997,9.1,504,45,210,209,88,6,504,21,13,61.9,5,23.8,243,1250,720,14,10,2,5,3,265,30,"https://fbref.com/en/players/72947847/Bruno-Langa"
2024,"Almería","La Liga","Lázaro","BRA","FW,MF","21",2002,3.2,152,2,19,64,69,14,152,16,5,31.3,10,62.5,89,547,224,5,3,2,11,5,100,34,"https://fbref.com/en/players/86ff856b/Lazaro"
2024,"Almería","La Liga","Dion Lopy","SEN","MF","21",2002,21.3,1108,65,310,656,162,8,1108,48,29,60.4,15,31.3,652,4181,1705,23,23,2,23,15,695,19,"https://fbref.com/en/players/64c14d49/Dion-Lopy"
2024,"Almería","La Liga","Anthony Lozano","HON","FW","30",1993,8.6,244,15,27,126,91,22,244,17,4,23.5,11,64.7,130,676,287,12,10,5,25,16,172,24,"https://fbref.com/en/players/38699c72/Anthony-Lozano"
2024,"Almería","La Liga","Diego Mariño","ESP","GK","33",1990,1,32,26,32,0,0,0,32,0,0,NA,0,NA,22,94,53,0,0,0,0,0,20,0,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2024,"Almería","La Liga","Luís Maximiano","POR","GK","24",1999,33,1355,1096,1336,19,0,0,1355,3,3,100,0,0,710,3504,2214,0,0,0,0,0,592,0,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
2024,"Almería","La Liga","Gonzalo Melero","ESP","MF,FW","29",1994,12.3,580,20,94,357,133,28,580,18,7,38.9,10,55.6,335,1739,919,23,11,3,26,13,407,33,"https://fbref.com/en/players/3902e91b/Gonzalo-Melero"
2024,"Almería","La Liga","Houboulang Mendes","GNB","DF","25",1998,4.4,236,21,94,117,27,1,236,7,2,28.6,3,42.9,83,389,175,5,4,0,8,4,89,6,"https://fbref.com/en/players/1545cf15/Houboulang-Mendes"
2024,"Almería","La Liga","Marko Milovanović","SRB","FW,MF","19",2003,3.4,102,5,13,56,34,13,102,4,1,25,2,50,51,177,59,2,1,1,6,4,66,13,"https://fbref.com/en/players/1fda2b14/Marko-Milovanovic"
2024,"Almería","La Liga","César Montes","MEX","DF","26",1997,19.9,1156,148,650,468,43,23,1156,3,3,100,0,0,593,2990,1805,7,5,1,7,1,730,2,"https://fbref.com/en/players/28e957d7/Cesar-Montes"
2024,"Almería","La Liga","Marcos Peña","ESP","MF","18",2005,4.9,274,15,104,162,11,1,274,1,0,0,1,100,103,443,140,0,2,0,3,3,158,0,"https://fbref.com/en/players/736c14ec/Marcos-Pena"
2024,"Almería","La Liga","Alejandro Pozo Pozo","ESP","DF,MF","24",1999,10.8,708,28,186,340,184,11,708,14,1,7.1,12,85.7,353,1565,758,22,15,3,16,4,410,62,"https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo"
2024,"Almería","La Liga","Pubill","ESP","DF","20",2003,20.9,1250,112,435,555,278,33,1250,65,33,50.8,23,35.4,580,3384,1864,59,42,7,33,14,645,85,"https://fbref.com/en/players/365113c0/Pubill"
2024,"Almería","La Liga","Arnau Puigmal","ESP","FW,DF","22",2001,2.8,122,2,20,56,48,2,122,7,2,28.6,4,57.1,76,437,210,4,3,0,7,2,78,17,"https://fbref.com/en/players/39352da2/Arnau-Puigmal"
2024,"Almería","La Liga","Aleksandar Radovanović","SRB","DF","29",1993,6.3,279,68,177,100,3,2,279,1,0,0,1,100,110,401,142,0,0,0,2,0,152,1,"https://fbref.com/en/players/09507ffa/Aleksandar-Radovanovic"
2024,"Almería","La Liga","Largie Ramazani","BEL","FW,MF","22",2001,17.3,578,11,90,251,263,59,578,74,31,41.9,38,51.4,381,3109,1775,59,41,27,45,33,396,104,"https://fbref.com/en/players/cc9256ef/Largie-Ramazani"
2024,"Almería","La Liga","Lucas Robertone","ARG","MF","26",1997,26.5,1675,72,405,975,316,17,1675,21,8,38.1,9,42.9,873,4221,2061,31,27,4,27,16,1041,37,"https://fbref.com/en/players/a8981944/Lucas-Robertone"
2024,"Almería","La Liga","Luka Romero","ARG","FW","18",2004,4.9,226,5,39,118,71,5,226,16,7,43.8,8,50,143,750,341,11,12,1,20,9,155,20,"https://fbref.com/en/players/ca6edaa0/Luka-Romero"
2024,"Almería","La Liga","Marciano Sanca","GNB","FW,MF","19",2004,0.5,28,0,2,17,9,0,28,0,0,NA,0,NA,12,87,24,1,1,0,1,1,16,3,"https://fbref.com/en/players/39a938cb/Marciano-Sanca"
2024,"Almería","La Liga","Paco Sanz","ESP","DF","18",2004,0.3,15,3,11,4,0,0,15,0,0,NA,0,NA,5,12,11,0,0,0,1,0,8,0,"https://fbref.com/en/players/b7aa8fd8/Paco-Sanz"
2024,"Almería","La Liga","Jonathan Viera","ESP","MF","33",1989,10.1,629,4,79,357,198,19,629,19,9,47.4,10,52.6,412,2015,1145,35,29,6,17,9,506,29,"https://fbref.com/en/players/efa708aa/Jonathan-Viera"
2024,"Arsenal","Premier League","Mohamed Elneny","EGY","MF","31",1992,0.3,45,1,9,30,6,1,45,0,0,NA,0,NA,27,148,62,1,0,0,1,0,37,0,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny"
2024,"Arsenal","Premier League","Kai Havertz","GER","MF,FW","24",1999,29.3,1282,29,143,541,611,184,1281,42,16,38.1,19,45.2,686,3077,1532,55,36,23,54,35,918,191,"https://fbref.com/en/players/fed7cb61/Kai-Havertz"
2024,"Arsenal","Premier League","Gabriel Jesus","BRA","FW","26",1997,16.4,782,16,75,247,472,139,782,75,35,46.7,30,40,489,2654,1146,38,21,25,61,38,567,155,"https://fbref.com/en/players/b66315ae/Gabriel-Jesus"
2024,"Arsenal","Premier League","Jorginho","ITA","MF","31",1991,10.2,871,25,154,479,239,5,871,5,2,40,3,60,521,1941,945,8,11,0,5,4,671,8,"https://fbref.com/en/players/45db685d/Jorginho"
2024,"Arsenal","Premier League","Jakub Kiwior","POL","DF","23",2000,10.5,716,25,189,367,167,15,716,3,2,66.7,1,33.3,362,1264,681,4,8,1,8,2,462,16,"https://fbref.com/en/players/dc3e663e/Jakub-Kiwior"
2024,"Arsenal","Premier League","Gabriel Magalhães","BRA","DF","25",1997,33.8,2447,321,1049,1176,234,42,2447,5,2,40,2,40,1447,6001,3455,13,37,1,12,3,1702,8,"https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes"
2024,"Arsenal","Premier League","Gabriel Martinelli","BRA","FW","22",2001,22.4,1241,12,96,315,844,196,1241,114,40,35.1,61,53.5,856,5863,2981,127,49,82,54,41,956,345,"https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli"
2024,"Arsenal","Premier League","Reiss Nelson","ENG","FW","23",1999,3,188,8,30,67,96,13,188,7,1,14.3,6,85.7,129,729,281,9,5,4,11,4,128,26,"https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson"
2024,"Arsenal","Premier League","Eddie Nketiah","ENG","FW","24",1999,12,371,5,18,148,207,75,371,30,8,26.7,15,50,236,1195,497,22,12,11,38,18,275,77,"https://fbref.com/en/players/a53649b7/Eddie-Nketiah"
2024,"Arsenal","Premier League","Ethan Nwaneri","ENG","FW","16",2007,0.2,20,0,0,9,11,2,20,1,0,0,0,0,16,123,66,2,2,0,0,0,17,1,"https://fbref.com/en/players/7f94982c/Ethan-Nwaneri"
2024,"Arsenal","Premier League","Thomas Partey","GHA","MF,DF","30",1993,8.8,707,23,138,423,154,6,707,13,9,69.2,2,15.4,453,2227,1129,15,18,1,8,8,528,10,"https://fbref.com/en/players/529f49ab/Thomas-Partey"
2024,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","25",1998,6,197,140,186,11,0,0,197,0,0,NA,0,NA,137,697,399,0,0,0,1,0,104,0,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
2024,"Arsenal","Premier League","David Raya","ESP","GK","27",1995,32,1099,764,1060,39,0,0,1099,0,0,NA,0,NA,728,3442,1992,0,0,0,1,0,637,0,"https://fbref.com/en/players/98ea5115/David-Raya"
2024,"Arsenal","Premier League","Declan Rice","ENG","MF","24",1999,35.8,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,"https://fbref.com/en/players/1c7012b8/Declan-Rice"
2024,"Arsenal","Premier League","Bukayo Saka","ENG","FW","21",2001,32.4,1952,37,182,474,1310,271,1946,122,49,40.2,54,44.3,1223,7180,3728,155,68,72,56,53,1393,508,"https://fbref.com/en/players/bc7dc64d/Bukayo-Saka"
2024,"Arsenal","Premier League","William Saliba","FRA","DF","22",2001,38,3093,223,1239,1720,142,15,3093,15,10,66.7,4,26.7,1992,9002,5201,16,22,1,22,13,2297,6,"https://fbref.com/en/players/972aeb2a/William-Saliba"
2024,"Arsenal","Premier League","Emile Smith Rowe","ENG","MF","23",2000,3.9,253,1,21,106,127,19,253,7,3,42.9,3,42.9,154,827,472,11,8,1,6,4,189,18,"https://fbref.com/en/players/17695062/Emile-Smith-Rowe"
2024,"Arsenal","Premier League","Cédric Soares","POR","DF","31",1991,0.7,69,0,10,47,12,0,69,0,0,NA,0,NA,37,139,69,0,0,0,0,0,56,6,"https://fbref.com/en/players/839c14e1/Cedric-Soares"
2024,"Arsenal","Premier League","Jurriën Timber","NED","DF","22",2001,0.8,79,0,11,51,17,1,79,1,1,100,0,0,61,249,121,0,3,0,0,1,61,5,"https://fbref.com/en/players/41034650/Jurrien-Timber"
2024,"Arsenal","Premier League","Takehiro Tomiyasu","JPN","DF","24",1998,12.8,824,37,192,389,248,31,824,12,4,33.3,7,58.3,469,2158,1064,17,14,3,13,3,520,37,"https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu"
2024,"Arsenal","Premier League","Leandro Trossard","BEL","FW,MF","28",1994,18.3,912,15,105,318,502,121,912,47,25,53.2,16,34,591,3651,1732,66,43,27,47,39,650,155,"https://fbref.com/en/players/38ceb24a/Leandro-Trossard"
2024,"Arsenal","Premier League","Fabio Vieira","POR","MF,FW","23",2000,3.3,184,2,14,76,97,20,183,9,2,22.2,6,66.7,111,561,298,12,3,6,7,5,141,30,"https://fbref.com/en/players/6412cc03/Fabio-Vieira"
2024,"Arsenal","Premier League","Ben White","ENG","DF","25",1997,33.2,2456,120,633,1165,676,64,2456,22,9,40.9,12,54.5,1321,4867,2672,44,34,9,26,9,1675,162,"https://fbref.com/en/players/35e413f1/Ben-White"
2024,"Arsenal","Premier League","Oleksandr Zinchenko","UKR","DF","26",1996,19.1,1729,46,335,885,519,28,1729,14,7,50,5,35.7,1013,4792,2334,40,28,7,10,15,1178,58,"https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko"
2024,"Arsenal","Premier League","Martin Ødegaard","NOR","MF","24",1998,34.3,2326,24,244,926,1173,165,2324,81,37,45.7,38,46.9,1563,8190,3514,91,83,37,53,58,1827,202,"https://fbref.com/en/players/79300479/Martin-Odegaard"
2024,"Aston Villa","Premier League","Cameron Archer","ENG","MF","22",2001,0.1,7,0,1,4,2,0,7,0,0,NA,0,NA,5,39,28,1,1,0,1,0,7,0,"https://fbref.com/en/players/05e8ca6d/Cameron-Archer"
2024,"Aston Villa","Premier League","Leon Bailey","JAM","MF,FW","25",1997,23,1040,19,151,318,589,129,1040,119,57,47.9,50,42,717,5148,2495,102,47,41,51,41,764,226,"https://fbref.com/en/players/3a233281/Leon-Bailey"
2024,"Aston Villa","Premier League","Diego Carlos","BRA","DF","30",1993,20.2,1517,244,867,610,43,23,1517,4,2,50,2,50,1013,4786,2606,4,2,1,8,4,1118,1,"https://fbref.com/en/players/b4a014b1/Diego-Carlos"
2024,"Aston Villa","Premier League","Matty Cash","POL","DF","25",1997,23.8,1496,89,490,657,364,54,1496,41,12,29.3,20,48.8,860,4871,2233,62,41,18,21,15,895,101,"https://fbref.com/en/players/2389cdc2/Matty-Cash"
2024,"Aston Villa","Premier League","Calum Chambers","ENG","MF,DF","28",1995,1.7,129,9,68,49,12,0,129,1,1,100,0,0,78,349,158,0,0,0,0,1,99,1,"https://fbref.com/en/players/dc6f5bdd/Calum-Chambers"
2024,"Aston Villa","Premier League","Philippe Coutinho","BRA","MF,FW","31",1992,0.3,30,0,4,18,9,1,30,5,4,80,1,20,26,222,134,5,4,0,2,0,29,2,"https://fbref.com/en/players/0ef89a37/Philippe-Coutinho"
2024,"Aston Villa","Premier League","Leander Dendoncker","BEL","MF","28",1995,1.3,80,4,31,39,12,2,80,0,0,NA,0,NA,36,124,27,0,1,0,2,1,39,2,"https://fbref.com/en/players/5a7301ae/Leander-Dendoncker"
2024,"Aston Villa","Premier League","Moussa Diaby","FRA","FW,MF","24",1999,24.2,824,12,69,298,470,136,824,70,29,41.4,37,52.9,568,3926,2013,94,43,39,33,30,620,183,"https://fbref.com/en/players/aeed5c06/Moussa-Diaby"
2024,"Aston Villa","Premier League","Lucas Digne","FRA","DF","30",1993,26.8,1590,71,468,541,593,56,1590,33,10,30.3,16,48.5,840,3630,1786,42,19,4,16,15,925,200,"https://fbref.com/en/players/1b84dbe1/Lucas-Digne"
2024,"Aston Villa","Premier League","Jhon Durán","COL","FW,MF","19",2003,5.3,189,8,22,90,80,27,189,5,2,40,3,60,102,508,206,9,5,5,16,14,138,25,"https://fbref.com/en/players/414184f7/Jhon-Duran"
2024,"Aston Villa","Premier League","Tim Iroegbunam","ENG","MF","20",2003,1.8,79,5,27,46,8,0,79,7,3,42.9,2,28.6,41,222,115,3,0,0,2,3,38,0,"https://fbref.com/en/players/84c5ceea/Tim-Iroegbunam"
2024,"Aston Villa","Premier League","Boubacar Kamara","FRA","MF","23",1999,18.4,1195,50,305,720,186,13,1195,30,14,46.7,12,40,769,3527,1663,19,22,1,19,13,880,10,"https://fbref.com/en/players/cc77354e/Boubacar-Kamara"
2024,"Aston Villa","Premier League","Omari Kellyman","ENG","FW","17",2005,0.4,11,0,1,8,2,0,11,0,0,NA,0,NA,4,33,9,1,1,0,2,0,6,0,"https://fbref.com/en/players/aa888da7/Omari-Kellyman"
2024,"Aston Villa","Premier League","Kaine Kesler-Hayden","ENG","MF,DF","20",2002,0.1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9b066938/Kaine-Kesler-Hayden"
2024,"Aston Villa","Premier League","Ezri Konsa","ENG","DF","25",1997,34.1,2359,239,971,1146,258,36,2359,34,19,55.9,6,17.6,1535,6930,3700,37,20,3,26,17,1669,33,"https://fbref.com/en/players/0313a347/Ezri-Konsa"
2024,"Aston Villa","Premier League","Clément Lenglet","FRA","DF","28",1995,12.8,1017,165,514,449,59,12,1017,8,3,37.5,2,25,727,4422,2819,26,18,0,3,3,786,1,"https://fbref.com/en/players/4f28a6ff/Clement-Lenglet"
2024,"Aston Villa","Premier League","Douglas Luiz","BRA","MF","25",1998,33.3,2351,81,519,1256,598,38,2347,47,24,51.1,16,34,1394,7522,3562,60,48,4,33,31,1638,50,"https://fbref.com/en/players/6f7d826d/Douglas-Luiz"
2024,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","30",1992,33.5,1509,1139,1484,25,0,0,1509,0,0,NA,0,NA,933,4389,2772,0,0,0,1,0,800,0,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2024,"Aston Villa","Premier League","John McGinn","SCO","MF,FW","28",1994,33.3,1546,44,257,810,499,58,1546,96,54,56.3,27,28.1,994,5181,2385,59,45,10,55,61,1096,84,"https://fbref.com/en/players/90f91999/John-McGinn"
2024,"Aston Villa","Premier League","Tyrone Mings","ENG","DF","30",1993,0.3,8,3,5,2,1,1,8,0,0,NA,0,NA,4,8,3,0,0,0,1,0,4,0,"https://fbref.com/en/players/8397a50c/Tyrone-Mings"
2024,"Aston Villa","Premier League","Álex Moreno","ESP","DF","30",1993,11.5,690,40,246,235,213,29,690,35,15,42.9,17,48.6,364,2332,1106,32,20,10,14,6,383,83,"https://fbref.com/en/players/16e9d0ea/Alex-Moreno"
