"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2024,"Real Madrid","La Liga","Kepa Arrizabalaga","ESP","GK","28",1994,13.3,9,0,0,0,1,10,0.28,2,0.15,34,92,37,386,57,19.2,27,70,25.7,30.6,157,6,3.8,10,0.75,14.7,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
2024,"Real Madrid","La Liga","Thibaut Courtois","BEL","GK","31",1992,3.7,0,0,0,0,0,3.1,0.22,3.1,0.85,10,19,52.6,105,25,16.2,26.7,18,11.1,27.8,47,2,4.3,5,1.36,15.3,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois"
2024,"Real Madrid","La Liga","Andriy Lunin","UKR","GK","24",1999,21,17,1,0,2,0,21.2,0.31,4.2,0.2,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.1,12.2,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin"
2024,"Real Sociedad","La Liga","Unai Marrero","ESP","GK","21",2001,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40,37,5,45.9,37,8,100,63.4,27,1,3.7,4,2.54,20.1,"https://fbref.com/en/players/f0fe87dc/Unai-Marrero"
2024,"Real Sociedad","La Liga","Álex Remiro","ESP","GK","28",1995,36.4,36,5,0,5,1,37.9,0.26,2.9,0.08,182,440,41.4,1090,111,30.6,32,163,65.6,50.9,383,18,4.7,54,1.48,16.9,"https://fbref.com/en/players/374ee424/Alex-Remiro"
2024,"Reims","Ligue 1","Yehvann Diouf","FRA","GK","23",1999,34,47,6,1,4,1,42.7,0.27,-3.3,-0.1,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,522,38,7.3,46,1.35,14.2,"https://fbref.com/en/players/eedea60b/Yehvann-Diouf"
2024,"Rennes","Ligue 1","Steve Mandanda","FRA","GK","38",1985,34,46,3,0,5,3,38.2,0.25,-4.8,-0.14,134,416,32.2,1017,149,29.9,31.5,192,58.3,43.1,451,36,8,37,1.09,15.1,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda"
2024,"Roma","Serie A","Rui Patrício","POR","GK","35",1988,23,27,2,0,2,2,23.4,0.29,-1.6,-0.07,90,211,42.7,492,86,31.5,31,137,40.9,34.9,309,16,5.2,8,0.35,11.7,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
2024,"Roma","Serie A","Mile Svilar","SRB","GK","23",1999,15,19,1,0,3,1,20.2,0.24,2.2,0.14,44,116,37.9,516,77,15.9,25.3,89,38.2,36.2,208,16,7.7,7,0.47,12,"https://fbref.com/en/players/bcf5058a/Mile-Svilar"
2024,"Salernitana","Serie A","Benoît Costil","FRA","GK","36",1987,13,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48,37,104,70.2,51.1,212,2,0.9,19,1.46,18.2,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
2024,"Salernitana","Serie A","Vincenzo Fiorillo","ITA","GK","33",1990,4,8,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87,56.6,77,4,5.2,1,0.25,7.6,"https://fbref.com/en/players/a2565f79/Vincenzo-Fiorillo"
2024,"Salernitana","Serie A","Guillermo Ochoa","MEX","GK","38",1985,21,44,7,0,3,1,37.2,0.27,-5.8,-0.28,85,323,26.3,479,73,46.3,37.5,171,59.1,44.4,342,9,2.6,11,0.52,13.6,"https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa"
2024,"Sassuolo","Serie A","Andrea Consigli","ITA","GK","36",1987,35,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
2024,"Sassuolo","Serie A","Alessio Cragno","ITA","GK","29",1994,3,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6,"https://fbref.com/en/players/f554e29b/Alessio-Cragno"
2024,"Sevilla","La Liga","Yassine Bounou","MAR","GK","32",1991,1,2,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,9,0,0,0,0,NA,"https://fbref.com/en/players/f6798fc3/Yassine-Bounou"
2024,"Sevilla","La Liga","Marko Dmitrović","SRB","GK","31",1992,13,25,2,0,3,1,22.6,0.3,-1.4,-0.11,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic"
2024,"Sevilla","La Liga","Ørjan Nyland","NOR","GK","32",1990,24,27,3,1,1,1,29.8,0.26,3.8,0.16,166,449,37,583,108,49.9,39.4,201,78.6,56.4,359,20,5.6,17,0.71,13.5,"https://fbref.com/en/players/bdedffac/Orjan-Nyland"
2024,"Sheffield Utd","Premier League","Wes Foderingham","ENG","GK","32",1991,29.4,79,5,0,8,5,70.5,0.33,-3.5,-0.12,206,619,33.3,782,101,54.6,40.2,262,73.3,52.3,468,28,6,42,1.43,14.7,"https://fbref.com/en/players/96cf7b61/Wes-Foderingham"
2024,"Sheffield Utd","Premier League","Ivo Grbić","CRO","GK","27",1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
2024,"Strasbourg","Ligue 1","Alaa Bellaarouch","MAR","GK","21",2002,15,26,3,0,1,1,19.8,0.25,-5.2,-0.35,56,183,30.6,440,57,36.4,34.4,61,37.7,36,203,19,9.4,21,1.4,13.4,"https://fbref.com/en/players/0595569d/Alaa-Bellaarouch"
2024,"Strasbourg","Ligue 1","Matz Sels","BEL","GK","31",1992,19,24,1,0,2,2,20,0.31,-2,-0.11,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,257,6,2.3,19,1,13.9,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
2024,"Stuttgart","Bundesliga","Fabian Bredlow","GER","GK","28",1995,4,3,0,0,1,0,5,0.23,2,0.49,22,61,36.1,168,15,31.5,31,11,72.7,51.7,55,1,1.8,5,1.25,16.6,"https://fbref.com/en/players/d28339cb/Fabian-Bredlow"
2024,"Stuttgart","Bundesliga","Alexander Nübel","GER","GK","26",1996,30,36,3,0,5,3,30.8,0.27,-2.2,-0.07,126,291,43.3,1103,132,23.1,28.7,112,32.1,32.7,341,30,8.8,57,1.9,17.3,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
2024,"Torino","Serie A","Luca Gemello","ITA","GK","23",2000,2,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.5,12,"https://fbref.com/en/players/53e494ec/Luca-Gemello"
2024,"Torino","Serie A","Vanja Milinković-Savić","SRB","GK","26",1997,36,31,6,0,4,0,33.8,0.21,2.8,0.08,264,783,33.7,1288,171,44.8,38.3,239,86.2,66.6,407,38,9.3,37,1.03,13.6,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
2024,"Tottenham","Premier League","Guglielmo Vicario","ITA","GK","26",1996,38,61,7,1,8,3,60,0.32,2,0.05,53,225,23.6,1363,193,14.3,24,201,14.9,22.2,511,33,6.5,81,2.13,17.1,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario"
2024,"Toulouse","Ligue 1","Guillaume Restes","FRA","GK","18",2005,34,46,4,2,6,0,45.3,0.3,-0.7,-0.02,92,285,32.3,702,93,27.4,29.3,193,48.2,38.9,490,7,1.4,16,0.47,10.7,"https://fbref.com/en/players/6b91b999/Guillaume-Restes"
2024,"Udinese","Serie A","Maduka Okoye","NGA","GK","23",1999,21,25,3,2,3,1,23.9,0.24,-0.1,0,99,263,37.6,286,45,55.9,41.7,161,64,49,365,7,1.9,2,0.1,8.7,"https://fbref.com/en/players/ab5c36dd/Maduka-Okoye"
2024,"Udinese","Serie A","Marco Silvestri","ITA","GK","32",1991,17,28,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1,"https://fbref.com/en/players/0d422df7/Marco-Silvestri"
