"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2024,"Alavés","La Liga","Samuel Omorodion","ESP","FW","19",2004,21.3,232,322,72,3200,468,142,180,78.9,68,93,73.1,8,13,61.5,1,1.3,0.6,-0.3,16,11,5,0,18,"https://fbref.com/en/players/dc44b03c/Samuel-Omorodion"
2024,"Alavés","La Liga","Eneko Ortiz","ESP","DF","20",2003,0.2,3,4,75,43,31,2,2,100,1,1,100,0,0,NA,0,0,0,0,0,0,1,0,1,"https://fbref.com/en/players/dc5ea86b/Eneko-Ortiz"
2024,"Alavés","La Liga","Jesús Owono","EQG","GK","22",2001,4,77,119,64.7,3064,2621,10,10,100,27,28,96.4,40,81,49.4,0,0,0,0,0,7,0,0,0,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2024,"Alavés","La Liga","Joaquín Panichelli","ARG","FW,MF","20",2002,2.5,29,46,63,399,153,16,21,76.2,11,15,73.3,0,3,0,0,0.1,0.1,-0.1,2,4,1,0,6,"https://fbref.com/en/players/ae14af56/Joaquin-Panichelli"
2024,"Alavés","La Liga","Victor Parada","ESP","FW,MF","21",2002,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8ca358c5/Victor-Parada"
2024,"Alavés","La Liga","Abderrahman Rebbach","ALG","FW,MF","24",1998,8,124,225,55.1,2213,845,63,84,75,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14,"https://fbref.com/en/players/9a796115/Abderrahman-Rebbach"
2024,"Alavés","La Liga","Luis Rioja","ESP","FW,MF","29",1993,27.8,551,855,64.4,9059,2662,280,351,79.8,193,279,69.2,56,133,42.1,4,3.9,4.2,0.1,41,25,38,19,77,"https://fbref.com/en/players/eb3dd471/Luis-Rioja"
2024,"Alavés","La Liga","Unai Ropero","ESP","MF","21",2001,0.1,4,5,80,46,20,3,3,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7868c973/Unai-Ropero"
2024,"Alavés","La Liga","Aleksandar Sedlar","SRB","DF","31",1991,10.5,343,405,84.7,6944,2813,115,129,89.1,178,201,88.6,46,67,68.7,0,0.1,0.1,-0.1,2,31,0,0,26,"https://fbref.com/en/players/a35134ae/Aleksandar-Sedlar"
2024,"Alavés","La Liga","Giuliano Simeone","ARG","FW","20",2002,7,114,169,67.5,1546,563,70,93,75.3,34,45,75.6,3,7,42.9,2,2,1.2,0,11,9,12,1,24,"https://fbref.com/en/players/a6536561/Giuliano-Simeone"
